author,country,author_reviews_count,rating,text,date,url,timestamp
Aliya Gassanova,,,1,,2025-09-04T19:24:16.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
Micaela Santos,,,1,,2025-09-02T13:46:18.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
KOROGLU osman,,,1,,2025-08-20T15:45:51.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
Nathalie,,,1,,2025-09-02T14:41:35.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
Aliya Gassanova,FR,1.0,1,"Expérience tres décevante au CNIT de La Défense .Une paire de baskets junior s’est anormalement usée au niveau de la semelle et le matériel dessus a jauni , impossible de retirer .Celle qui s’est présentée en tant que responsable service client avec un regard dur et sans aucun sourire me dit : vous vous rendez si tous les parents vont ramener les chaussures usées , on ne s’en sort pas »Alors que mon fils porte les produits Décathlon depuis tout petit, il a aussi la trottinette électrique décathlon, et pas que.Aucune empathie, même pas pour prendre en compte la fidélité pendant des années , ni même regarder la date d’achat .Surtout que cela arrive une première fois.C’est pas grave, on ira chez le concurrent la prochaine fois !!!",2025-09-04T19:24:16.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
Nicolas F,FR,1.0,1,Le tee shirt manche longue mérinos fin comme du papier a cigarette a 53euro. Ne m'a pas fait l'année.Decathlon est devenu une grosse énorme arnaque.,2025-09-04T13:35:39.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
nek,FR,7.0,1,"je met 1 étoile en précisant que mon avis concerne uniquement les atelier decathlon (et si c'était seulement la note pour les ateliers de ma région je mettrais ZERO , c'est tout ce que ca vaut).. j'en ai fait plusieurs et je me pose beaucoup de questions devant des similitudes des réponses que l'on obtient de leur part.., incompétence totale ou politique qui vise à pousser à l'achat de matériel neuf plutot que de vraiment aider à réparer l'ancien matériel ? (matériel acheté chez decathlon , rien de bien exotique)(je précise que dans ma région , decathlon est loin d'être le seul à être concerné, je n'ai simplement pas trouvé d'atelier qui me paraisse 100% clair sur ce genre de pratiques, j'ai des ""anecdotes"" qui concerne 80% des ateliers de ma région, les 20% restant je ne cherche même plus à perdre de temps à aller les voir, j'apprends à entretenir mon vélo seul , c'est tout ce qu'ils ont récoltés )... concernant décathlon , je donne 2 exemples récents : je ramene un vélo pour un probleme de frottement du dérailleur avant quand on appuie fort à la relance (quelque soit le reglage des butees et de la tension du cable etc) , que se passe t 'il sur le devis décrivant la réparation ? en petit caractères on transforme le mot ""frottement"" en ""craquement"" et on me change une piece qui n'a rien a voir avec le probleme , et bien sur le probleme persiste (obligé de faire 3 aller retour , pour leur mettre le doigt sur le probleme , la premiere fois ils me font comprendre qu'ils ont compris , puis au fur et à mesure ils ne voient plus le probleme, et ca devient moi le probleme.., soit disant on est pas censé appuyer sur la pédale aussi fort pour relancer etc , des explications les plus tirées par les cheveux les unes que les autres , ils ne doutent de rien et sont capables de s'y mettre à plusieurs pour essayer de vous faire douter...) au final j'ai changé moi même le modèle de pédalier pour un boitier de pédalier plus rigide (hollowtech2 vs axe carré) et j'ai solutionné le probleme , à aucun moment les ateliers n'ont été capables de proposer cette solution (peut etre parce que cela questionnait surtout la conception de base du vélo j'imagine...)Une autre fois je ramène une roue, de vélo acheté d'occasion , roue vendue sur un vélo decathlon donc.. sauf que la personne qui m'a vendu la roue avait fait des modifications incompatibles, ..donc je vais chez decathlon pour qu'ils me donnent la référence d'origine de la piece qui a été modifiée (je passe sur le fait qu'ils sont incapables de répondre à cette question simple par mail et forcent à prendre un rendez vous). Et là , la seule chose qu'on me répond c'est , ""on ne peut rien faire""... une piece a priori standard vendue sur un vélo decathlon (btwin) qu'ils ont vendu il y a 8 ans, ils ne sont pas capables d'en donner la référence (sachant que c'est une piece qu'on doit trouver sur le web assez facilement, mais là aussi il m'aurait fallut un minimum d'information sur les caractéristiques de la piece d'origine) , et a aucun moment ne cherchent à trouver une solution .. devant mon incrédulité ils me répètent 4 ou 5 fois ""on ne peut rien faire"" sans autre précision .. et là aussi je passe sur le ton condescendant malgré ma demande simplissime , je demandais juste une référence , mais eux partent du principe qu'on à tort (obligé de passer 20 min à prouver que la piece n'est pas l'originale etc) et que les demandes sont faites par des gens sans connaissances et ils nous le font bien ressentir ..... le pire dans tout ca c'est que si on écrit à decathlon pour demander une référence on est redirigé vers ces mêmes ateliers , il n'y a aucun moyen apparemment d'avoir quelqu'un qui serait capable de chercher dans une base de donnée pour avoir des références de pièces détachées , ... bref ma roue est inutilisable à cause d'une petite pièce .. et ca veut se faire passer pour une entreprise ""responsable"" ... dans la réalité on est dans le greenwashing, avec cette rétention d'information pour forcer à racheter du neuf (si on m'avait donné une explication au moins à cette incapacité à trouver l'information , mais rien , juste ""on ne peut rien faire"") absurde , ahurissant, désolant , exaspérant, catastrophique , FUYEZ ces ateliers , apprenez l'entretien de base de vos vélos par vous même c'est loin d'être compliqué, les ateliers vélo ont tellement de travail apparemment qu'ils se permettent désormais de vous traiter comme des numéros sans intérêt et tant pis pour le service, le temps perdu , et les problèmes irrésolus , c'est pas leur problème , ils ont bien assez de gens à baratiner",2025-09-03T16:48:29.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
Nathalie,FR,1.0,1,"La date estimée de livraison a été dépassée d' une semaine, Le défaut de commande n'a pas été justifié et a occasionné un retard conséquent sans que le suivi de commande ne soit mis à jour, il m'a fallu appeler le SAV sans avoir plus d'explication. Dommage car les produits sont de bonne qualité...",2025-09-02T14:41:35.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
Micaela Santos,CH,1.0,1,"Service client horrible et impossible à naviguer. Ces bots horribles qui ne servent à rien, des échanges coupées à court par le système et une semaine pour répondre, ce qui fait que l’article souhaité n’est plus disponible",2025-09-02T13:46:18.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
Stéphy,FR,4.0,4,Bonne expérience en magasin et sur l'appli.,2025-09-02T11:57:46.000Z,https://fr.trustpilot.com/review/www.decathlon.fr?page=1,2025-09-05 18:52:00.576888
